voltage,kg/hr
0.009765625,-85.8476724
0.01953125,-80.56875045
0.029296875,-75.52175149
0.0390625,-70.69826113
0.048828125,-66.09008634
0.05859375,-61.68925107
0.068359375,-57.48799203
0.078125,-53.47875443
0.087890625,-49.65418786
0.09765625,-46.00714214
0.107421875,-42.53066332
0.1171875,-39.21798967
0.126953125,-36.06254776
0.13671875,-33.05794856
0.146484375,-30.19798365
0.15625,-27.47662144
0.166015625,-24.88800343
0.17578125,-22.42644062
0.185546875,-20.08640982
0.1953125,-17.86255015
0.205078125,-15.74965953
0.21484375,-13.74269122
0.224609375,-11.83675041
0.234375,-10.02709091
0.244140625,-8.309111832
0.25390625,-6.678354313
0.263671875,-5.130498362
0.2734375,-3.661359685
0.283203125,-2.266886591
0.29296875,-0.943156933
0.302734375,0.313624895
0.3125,1.507130917
0.322265625,2.64091249
0.33203125,3.718403167
0.341796875,4.742921524
0.3515625,5.717673928
0.361328125,6.645757277
0.37109375,7.530161679
0.380859375,8.373773098
0.390625,9.179375956
0.400390625,9.949655684
0.41015625,10.68720124
0.419921875,11.39450759
0.4296875,12.0739781
0.439453125,12.72792698
0.44921875,13.35858159
0.458984375,13.96808478
0.46875,14.55849711
0.478515625,15.13179913
0.48828125,15.68989354
0.498046875,16.23460733
0.5078125,16.76769394
0.517578125,17.29083527
0.52734375,17.80564376
0.537109375,18.31366438
0.546875,18.81637658
0.556640625,19.31519623
0.56640625,19.8114775
0.576171875,20.30651471
0.5859375,20.80154417
0.595703125,21.29774595
0.60546875,21.79624564
0.615234375,22.29811604
0.625,22.80437887
0.634765625,23.31600643
0.64453125,23.83392315
0.654296875,24.35900728
0.6640625,24.89209234
0.673828125,25.43396871
0.68359375,25.98538509
0.693359375,26.54704995
0.703125,27.11963298
0.712890625,27.70376649
0.72265625,28.30004674
0.732421875,28.90903532
0.7421875,29.53126046
0.751953125,31.013785520749064
0.76171875,32.695056111287116
0.771484375,34.32220882315473
0.78125,36.397993047074024
0.791015625,38.68210034095264
0.80078125,40.20049397060608
0.810546875,41.39114993154907
0.8203125,42.611255140450034
0.830078125,42.73798755532797
0.83984375,42.70882582495374
0.849609375,43.46093207744372
0.859375,44.482659048286855
0.869140625,44.712276012242015
0.87890625,45.69106057322587
0.888671875,46.66209512979071
0.8984375,47.590912466340974
0.908203125,48.48219615365844
0.91796875,50.58390546550618
0.927734375,52.96547777780757
0.9375,55.49058874302763
0.947265625,56.89785042100899
0.95703125,58.14648070739188
0.966796875,59.5090769557604
0.9765625,60.57753174345951
0.986328125,61.69679131993699
0.99609375,63.04644187106339
1.005859375,64.5289992496329
1.015625,65.85876376793878
1.025390625,67.22071331205397
1.03515625,68.58365854121769
1.044921875,69.52631456554799
1.0546875,71.00404575527747
1.064453125,72.23414410817415
1.07421875,73.85499763909533
1.083984375,75.46274461337956
1.09375,77.27151986755167
1.103515625,78.5914197900021
1.11328125,80.49224339616251
1.123046875,81.89533195453812
1.1328125,83.44149304204414
1.142578125,85.05658712342222
1.15234375,87.03009060354825
1.162109375,89.01631420550046
1.171875,90.93198756580867
1.181640625,92.64686157565974
1.19140625,94.78180928997523
1.201171875,96.65515043934563
1.2109375,98.1728288069213
1.220703125,100.0137302654405
1.23046875,101.90520432640302
1.240234375,103.71693723635985
1.25,105.27758755487093
1.259765625,106.5878805644555
1.26953125,108.1644917535643
1.279296875,110.27558248546266
1.2890625,111.9115060295311
1.298828125,113.83541203973301
1.30859375,115.92827521187425
1.318359375,118.11730308704307
1.328125,119.54941985036251
1.337890625,121.80256096871327
1.34765625,123.46683695972631
1.357421875,125.42627591613531
1.3671875,127.58836345273266
1.376953125,129.53805809218602
1.38671875,130.89565021672448
1.396484375,133.15227077929964
1.40625,135.57092484547584
1.416015625,138.26180409505142
1.42578125,140.260214890372
1.435546875,143.43047317495845
1.4453125,145.4076404885059
1.455078125,146.92122533073092
1.46484375,148.05643140648522
1.474609375,150.49290284275187
1.484375,152.01844127459754
1.494140625,154.53043229881695
1.50390625,157.86191816832596
1.513671875,159.66795446560775
1.5234375,162.04123930327478
1.533203125,164.81888632491135
1.54296875,167.61359089175238
1.552734375,169.40050062570674
1.5625,172.5072646280246
1.572265625,175.95021839898348
1.58203125,178.56720923387635
1.591796875,181.21286274600064
1.6015625,184.7050161241478
1.611328125,187.43369908672386
1.62109375,189.134480332022
1.630859375,190.01512302617553
1.640625,191.38490611254858
1.650390625,193.16188500917573
1.66015625,196.08064179732176
1.669921875,200.13813604620066
1.6796875,204.85290526961458
1.689453125,208.6448729121999
1.69921875,211.96629407904115
1.708984375,215.01733940354686
1.71875,216.220786938224
1.728515625,218.9759686262916
1.73828125,222.1953322526166
1.748046875,224.9684514836493
1.7578125,227.29258808577782
1.767578125,229.81690275643857
1.77734375,231.67186335759638
1.787109375,234.95606937994293
1.796875,237.15243627444931
1.806640625,239.07816244144502
1.81640625,241.37347362139604
1.826171875,243.64563181593076
1.8359375,244.44792514410568
1.845703125,247.14707271055124
1.85546875,252.67327800436942
1.865234375,257.087532914309
1.875,262.24152988198443
1.884765625,267.06118706745883
1.89453125,271.3009830810548
1.904296875,271.6847777468106
1.9140625,274.81554390311504
1.923828125,276.7934791421944
1.93359375,278.82355923622754
1.943359375,281.1832115137374
1.953125,284.47126544071205
1.962890625,286.1854464909562
1.97265625,287.99101871944856
1.982421875,290.5204086373638
1.9921875,291.49660338664665
2.001953125,293.163747201084
2.01171875,294.8429849859812
2.021484375,296.1232520187149
2.03125,297.3423665790155
2.041015625,298.1201547997954
2.05078125,299.48437847125894
